_id,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
59,Jefferson Recreation Center,Jefferson Recreation Center,North Side,"605 Rednap Street, PA, 15212",40.459441,-80.014485,CitiParks Community Recreation Centers,roof-daytime,All in City of PIttsburgh,none,412-323-7268,"Recreaton center with playground, basketball, video games.  Summer meals breakfast and lunch for kids 18 and younger.  During the school year, snacks available for kids 18 and younger. Free wifi.",M - F; noon - 8pm,
60,Brookline Rec Center,Brookline Rec Center,Brookline,"1400 Oakridge Street, PA, 15226",40.39121,-80.008479,CitiParks Community Recreation Centers,roof-daytime,"All, most activities for children below 18.",City of Pittsburgh resident.  Sign up for free membership.  Children under 18 must be enrolled and on ID of someone older than 18.,412-571-3222,"Children's programs, including sports and camps.","Mon-Fri, 10am - 9pm; Sat 8am - noon; ; Summer hours  June 10-Aug 31; Mon-Fri, 9am - 7pm",
61,Phillips Recreation Center,Phillips Recreation Center,Carrick,"201 Parkfield Street, PA, 15210",40.391343,-79.990512,CitiParks Community Recreation Centers,roof-daytime,State of PA resident,Request membership registration - free.,,"Free snacks and dinner for children 18 and under during school year.  Free breakfast and lunch for children 18 and under in summer.  Arts and Crafts, basketball, disc golf course outside, Most activities for children 12 and under.  Free Wifi","Through June 10, 2019; Mon-Fri, 10:00am - 9:00pm; Closed Saturday ; ; Summer Hours June 10 through August 31; Mon - Fri, 1:00pm - 7:00pm (opens after Tot Camp) ; Sat 8:00am - noon",
62,Ormsby Recreation Center,Ormsby Rec Center,South Side,"79 S 22nd St, PA, 15203",40.429246,-79.974325,Summer Food Program,roof-daytime,All,Will be asked for an address in the City of Pittsburgh,412-488-8306,"City recreation center that is also a warming center.   Free Wifi, game room with pool tables, foosball, some games.  Outdoor playground, upstairs basketball court, large baseball/soccer field.",Mon - Fri: noon - 8pm; Follows City holiday schedule,
63,Paulson Recreation Center,Paulson Rec Center,Lincoln-Lemington,"1201 Paulson St, PA, 15206",40.468169,-79.903458,Summer Food Program,roof-daytime,City of Pittsburgh residents,None,412-665-3627,"Free outdoor facilities for all.  Free Wifi.  Indoor gym costs $5/month.   ; Free summer food for children - breakfast 9-10 am, lunch noon-1pm - until food is gone.  ; Summer camp program is not free - $20/month.",Mon - Fri; noon - 8pm ; ; Summer hours June 10 - August 31; Mon - Fri ; 9am - 6pm,
64,Library - McKeesport,Carnegie Library of McKeesport,McKeesport,"1507 Library Street, PA, 15132",40.344993,-79.855283,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-215-0641,Library,Mon - Wed 8:00am - 8:00pm; Thu and Fri 8:00am - 6:30pm; Sat 9:00am - 1:00pm; Closed Sunday,
65,Library - Wilkinsburg,Wilkinsburg Public Library,Wilkinsburg,"605 Ross Avenue, PA, 15221",40.443206,-79.885941,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-244-2940,Library,"Mon, Wed 10:00am - 8:00pm; Tue, Thu 10:00am - 6:00pm; Fri, Sat 10:00am - 5:00pm",
66,Library - Whitehall,Whitehall Public Library,Whitehall,"100 Borough Park Drive, PA, 15236",40.350734,-79.979956,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-6622,Library,Mon - Thur 9:00am - 9:00pm; Fri 1:00pm - 5:00pm; Sat 9:00am - 5:00pm; Sun noon - 4:00pm,
67,Library - Oakdale,Western Allegheny Community Library,Oakdale,"181 Bateman Rd., PA, 15071",40.436685,-80.233636,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-695-8150,Library,"Mon - Thu 9:00am - 8:00pm ; Fri, Sat 9:00am - 2:00pm; Sun 1:00pm - 5:00pm",Closed during date: 2017/11/16; Closed during date: 2017/11/17; Hours changed on date: 2017/11/18. Hours are: 12:00 am-1:000 pm; 
68,Library - Swissvale,Carnegie Free Library of Swissvale,Swissvale,"1800 Monongahela St., PA, 15218",40.422597,-79.891003,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-2300,Up steps to front door,"Mon, Tue, Thu 10:00am - 8:00pm; Wed, Fri 10:00am - 4:00pm; Sat 9:00am - 4:00pm",
69,Library - Sto-Rox,F.O.R Sto-Rox Library,McKees Rocks,"420 Chartiers Avenue, PA, 15136",40.464862,-80.058749,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-771-1222,Library,Mon - Thur 10am - 8pm ; Fri - Sat 10:00am - 5:00pm ; Closed Sun,
70,Library - Springdale,Springdale Free Public Library,Springdale,"331 School Street, PA, 15144",40.542301,-79.778172,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-274-9729,Library,"Mon, Wed, Thu noon - 8:00pm; Tue, Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday",
71,Library - Sewickley,Sewickley Public Library,Sewickley,"500 Thorn Street, PA, 15143",40.538848,-80.181215,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-741-6920,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm; Sat 9:00am - 5:00pm ; Sun 1:00pm - 4:00pm,
72,Library - Scott Township,Scott Township Public Library,Scott Township,"301 Lindsay Road, PA, 15106",40.386726,-80.084195,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-429-5380,Library,"Mon, Tue 10:00am - 8:00pm ; Wed, Thu noon - 8:00pm ; Fri noon - 5:00pm; Sat 10:00am - 2:00pm; Closed Sunday",
73,Library - Pleasant Hills,Pleasant  Hills Public Library,Pleasant Hills,"302 Old Clairton Road, PA, 15236",40.333871,-79.961815,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-2424,Library,Mon - Fri 10:00am - 8:30pm ; Sat 10:00am - 2:00pm; Sun noon - 3:00pm,
74,Library - Oakmont,Oakmont Carnegie Library,Oakmont,"700 Allegheny River Boulevard, PA, 15139",40.521862,-79.841745,Allegheny County Library Association (ACLA),roof-daytime,All,None,,Library,"Mon, Thu 10:00am - 8:00pm ; Tue, Wed 10:00am - 6:00pm; Fri noon - 4:00pm; Sat 9:00am - 4:00pm; Closed Sunday",
75,Library - Northland (North Hills),Northland Public Library,North Hills,"300 Cumberland Rd., PA, 15237",40.570905,-80.034981,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-366-8100,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm ; Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm,
76,Library - North Versailles,North Versailles Public Library,North Versailles,"1401 Greensburg Highway, PA, 15137",40.381314,-79.818069,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-823-2222,Library,"Mon, Wed, Fri 10:00am - 5:00pm ; Tue, Thu 11:00am - 8:00pm ; Sat 10:00am - 4:00pm; Closed Sunday",
77,Library - Andrew Bayne (Bellevue),Andrew Bayne Memorial Library,Bellvue,"34 North Balph Avenue, PA, 15202",40.49643,-80.05417,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-766-7447,Library,"Mon, Wed 10:00am - 8:00pm ; Tue, Thu 10:00am - 6:00pm ; Fri, Sat 10:00 - 5:00pm ; Closed Sunday",
78,Library - Avalon,Avalon Public Library,Avalon,"317 S. Home Avenue, PA, 15202",40.497157,-80.062521,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-761-2288,Library,"Mon, Wed 10:00am - 6:00pm; Tue, Thu noon - 8:00pm; Fri 10:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
79,Library - Bethel Park,Bethel Park Public Library,Bethel Park,"5100 West Library Avenue, PA, 15102",40.332895,-80.031238,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-835-2207,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Closed Sunday",
80,Library - Braddock,Braddock Carnegie Library,Braddock,"419 Library St., PA, 15104",40.401653,-79.865256,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-351-5356,Library,"Mon, Fri 10:00am - 5:00pm ; Tue, Wed, Thu 11:00am - 8:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
81,Library - Brentwood,Brentwood Library,Brentwood,"3501 Brownsville Road, PA, 15227",40.375156,-79.975002,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-5694,Library,Mon - Thu 10:00am - 8:30pm ; Fri 1:00pm - 5:00pm ; Sat 10:00am - 3:00pm ; Sun noon - 4:00pm,
82,Library - Carnegie,Andrew Carnegie Free Library,Carnegie,"300 Beechwood Avenue, PA, 15106",40.406815,-80.085442,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-276-3456,Library,Mon 2:00pm - 7:00pm; Tue - Thu 10:00am - 7:00pm; Fri 10:00am - 5:00pm; Sat 11:00am - 3:00pm,
83,Library - Natrona Heights,Community Library of Allegheny Valley (CLAV) - Natrona Heights,Natrona Heights,"1522 Broadview Blvd., PA, 15065",40.620786,-79.72855,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-3491,Library,Mon - Thu 11:30am - 8:30pm; Fri 10:00am - 2:00pm; Sat 9:00am - 4:00pm; Closed Sunday,
84,Library - Tarentum,Community Library of Allegheny Valley (CLAV) - Tarentum,Tarentum,"400 Lock Street, PA, 15084",40.601588,-79.753884,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-0770,Library,Mon - Wed 10:00am - 6:00pm ; Fri 10:00am - 4:00pm ; Sat 10:00am -2:00pm ; Closed Thursday and Sunday,
85,Library - Edgewood,C.C. Mellor Memorial Library - Edgewood,Edgewood,"1 Pennwood Drive, PA, 15218",40.432042,-79.885025,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-0909,Library,Mon - Thu 10:00am - 8:00pm ; Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday,
86,Library - Fox Chapel,Cooper-Siegel Community Library,Fox Chapel,"403 Fox Chapel Road, PA, 15238",40.515225,-79.879587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-828-9520,Library,"Mon, Wed, Thu 10:00am - 8:00pm ; Tues, Fri, Sat 10:00am - 5:00pm ; Closed Sunday",
87,Library - Crafton,Crafton Public Library,Crafton,"140 Bradford Avenue, PA, 15205",40.434286,-80.067014,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-922-6877,Library,"Mon 9:00am - 5:00pm ; Tues, Wed, Thu noon - 8:00pm ; Fri 9:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
88,Library - Castle Shannon,Community Library of Castle Shannon,Castle Shannon,"3677 Myrtle Avenue, PA, 15234",40.367907,-80.022371,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-563-4552,Library,"Mon, Wed 1:00pm - 9:00pm ; Tues, Thu 10:00am - 9:00pm; Fri 1:00pm - 5:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday",
89,Library - Dormont,Dormont Public Library,Dormont,"2950 West Liberty Avenue, PA, 15216",40.394103,-80.03587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-8754,Library,"Mon - Thu 9:00am - 9:00pm; Fri, Sat 9:00am - 5:00pm; Closed Sunday",
90,Library - Jefferson Hills,Jefferson Hills Public Library,Jefferson Hills,"925 Old Clairton Rd., PA, 15025",40.297325,-79.929553,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-7741,Library,Mon - Thu 10:00am - 8:30pm ; Sat 10:00am - 3:00pm ; Sun 1:00pm - 4:00pm ; Closed Friday,
91,Library - Millvale,Millvale Community Library,Millvale,"213 Grant Avenue, PA, 15209",40.47896,-79.971507,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-822-7081,Library,"Tue noon -8:00pm ; Wed, Thu 10:00am - 6:00pm ; Fri 10:00am - 2:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday and Monday",
92,Library - Monroeville,Monroeville Public Library,Monroeville,"4000 Gateway Campus Blvd., PA, 15146",40.429161,-79.754765,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-372-0500,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun noon - 3:00pm",
93,Library - Mt. Lebanon,Mt. Lebanon Public Library,Mount Lebanon,"16 Castle Shannon Blvd., PA, 15228",40.377266,-80.045408,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-1912,Library,"Mon Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm",
94,South Avenue Methodist Church Drop In Center,South Avenue Methodist Church Drop In Center,Wilkinsburg,"733 South Avenue, PA, 15221",40.441899,-79.884252,South Avenue Methodist Church,roof-daytime,All in need,none,412-371-7421,"Daytime Drop In Center.  Wifi, but no computers.  In a quiet library room.",Mon - Thu; 9:00am - 3:00pm,
95,Open Computer Time at Veteran's Leadership Program,Veterans Leadership Program,Strip District,"2934 Smallman St, PA, 15201",40.459144,-79.973942,Veterans Leadership Program of Western Pennsylvania,roof-daytime,all Veterans,none,412-481-8200,"Open computer time, check your email, or receive personalized computer assistance",Wednesdays 2-4pm,
96,Veterans Leadership Program - Financial Literacy Class,Veterans Leadership Program,Strip District,"2934 Smallman St, PA, 15201",40.459144,-79.973942,Veterans Leadership Program of Western Pennsylvania,expert-lookup,all Veterans,none,412-481-8200,Join us for a Free Financial Literacy Class,1st Wednesdays of every month 1-2pm,
97,First Food and Friends Showers,First Food and Friends Showers,Shadyside,"5401 Centre Avenue, PA, 15232",40.456516,-79.937634,First Food and Friends/First United Methodist Church,roof-daytime,All in need,None,(412) 580-1522,"Hot showers in private area of church, have clean towels and provide new set of tshirt/underpants/socks for men and bra/underpants/socks for women. Located at the First United Methodist Church.",Saturdays; 9am - noon,
98,First Food and Friends Saturday Lunch,First Food and Friends Saturday Lunch,Shadyside,"5401 Centre Avenue, PA, 15232",40.456516,-79.937634,First Food and Friends/First United Methodist Church,meals,All in need,None,(412) 580-1522,"Every Saturday, lunch at 11:30am - 12:30pm at the First United Methodist Church",Saturdays; 11:30am - 12:30pm,
99,Proud Haven,Proud Haven,Northside (East Allegheny),"517 E Ohio St, Pittsburgh, PA 15212, USA, PA, 15212",40.45360100000001,-80.00002569999998,Proud Haven,roof-daytime|activities,LGBTQIA youth and their allies,For youth ages 25 and under,412-953-4666,"Welcoming hang-out space for LGBTQIA youth, offering emotional support, connection to housing programs, and other resources. Variety of toiletries, clothing, shelf stable food, winter and summer gear, and other donations available on site.",​Mon - Tues: noon- 5pm; Thu: 2 - 6pm; 1st & 3rd Saturdays 1 – 6pm,
100,Project Silk,Project Silk,Downtown,"304 Wood Street, PA, 15222",40.4389465,-80.0012185,Project Silk,roof-daytime|activities,"young black and latinx gay men, transgender individuals, and their allies, ages 13-29.",must be age 13-29,412-532-2123,"Project Silk is an HIV prevention and care initiative, providing STI/HIV testing on-site. Project Silk offers skill-building and recreational activities, sexual health education, linkage to medical care, food, clothing, and transportation assistance for youth members.",Mon - Thu; 1pm-8pm,
101,Warming Center - Church of the Epiphany,Church of the Epiphany Warming Shelter,Uptown,"184 Washington PL, PA, 15219",40.44022,-79.990774,Church of the Epiphany,roof-daytime,All in need,None,412-471-0654,Warming Center is now here while Catholic Charities facility is being renovated.  Also have computers available.,"Mon - Sun, 7:30am - 5:30pm; (every day in the winter)",
102,Lunch - East End Cooperative Ministry,East End Cooperative Ministry,East Liberty,"6140 Station Street, PA, 15206",40.463009,-79.922353,East End Cooperative Ministry,meals,all,none,,"Free lunch;  allow time to go through security (no alcohol, drugs or weapons).  Enter Door G - double doors marked Community Connections, off parking lot",Mon - Fri:  12:15pm - 1pm,
103,Food Pantry - East End Cooperative Ministry,East End Cooperative Ministry,East Liberty,"6140 Station Street, PA, 15206",40.463009,-79.922353,East End Cooperative Ministry,pantries-supplies,all who need food,must be 18 or older,,"Food pantry available for all those in need.  Sometimes have toiletries, paper products, baby food.  Once only for emergency.  Need documentation to go on monthly program.","Mon - Fri:  9:30am - 11:30am, 1pm - 3pm; 3rd Monday of the month from 6:30pm - 8:30 pm",
104,Continental Breakfast/Lunch - Jubilee Kitchen,Jubilee Kitchen,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Jubilee Kitchen,meals,all,none,412-261-5417,"Coffee and rolls starting at 8:30am, lunch at 11am.",365 days/year; Continental Breakfast at 8:30am; Lunch at 11am,
105,Jubilee Kitchen Foot Clinic,Jubilee Kitchen,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Jubilee Kitchen,health,all,"none, walk-in;  call ahead to confirm Doctor will be in",412-261-5417,"Walk-in foot clinic with podiatrist, usually the last Friday of the month.",Last Friday of the Month:; 8am - 10am,
106,Bag Lunch - The Red Door,The Red Door,Downtown,"202 Stanwix St, PA, 15222",40.439915,-80.004634,St. Mary of Mercy,meals|pantries-supplies,all,none,,Provides bag lunch for take-away.  Some basic clothing (including socks) may be available on request.,Mon - Sat:  10:30am - 11:30am,
107,Tues/Thurs Lunch | Sun Dinner - New Hope U.M. Church,New Hope Church Lunch,North Side,"114 W North Ave, PA, 15212",40.455603,-80.008411,New Hope United Methodist Church,meals,all,none,,"Free lunch on Tuesdays and Thursdays and sunday dinner, all are welcome","Tues, Thurs: 11am - 1pm; Sun:  3pm - 5pm",
108,Sun Lunch - Salvation Army,Salvation Army Sunday Meal,North Side,"100 W. North Ave, PA, 15212",40.455837,-80.007828,Salvation Army - Northside,meals,all,must attend worship service before meal,412-321-0290,Free Sunday meal following worship service.,"Sun:  11am (service, followed by meal)",
109,Tues/Thurs/Sun Meal - Hot Metal Bridge Faith Community,Hot Metal Bridge Faith Community,South Side,"2700 Jane St, PA, 15203",40.425258,-79.967832,Hot Metal Bridge Faith Community,meals,all,none,412-481-4010,"\The Table\"" is a free community meal hosted every Tuesday and Thursday as well as a hot lunch on Sundays.  Meals are prepared by volunteer groups from all over the city.  During meals, 412  Food Rescue distributes fruit, veggies and other food to take away.  The Care Closet stocks clothing, camping supplies and toiletries for those on the street.""","Tues, Thurs:  5:30pm - 6:30pm; Sun:  noon",
110,Hot Metal Bridge Faith Community Care Closet,Hot Metal Bridge Faith Community,South Side,"2700 Jane St, PA, 15203",40.425258,-79.967832,Hot Metal Bridge Faith Community,pantries-supplies,all in need,none,412-481-4010,"Clothing (mostly adult sizes), shoes, blankets, and toiletries (including tampons and pads) available for anyone in need. Sometimes sleeping bags, tents, and backpacks available as well.",Tues - Thurs: 5pm - 7pm; Sun: noon - 1:30pm,
111,Sunday Lunch - Mission From Mars,Mission from Mars - Free Sunday Lunch,North Side,"50 Montgomery Place, PA, 15212",40.455455,-80.005817,Mission from Mars,meals,all,None,724-612-1133,"Free Sunday Lunch every week, rain or shine,  served on tables in Allegheny Commons Park (across from Light of Life Mission, but not affiliated with them).",Sun: 11:30am - 1:00pm,
112,Tuesday Dinner - Outreached Arms,Tuesday dinners - Outreached Arms,Downtown,"320 Sixth Avenue, PA, 15222",40.441248,-79.999257,Outreached Arms,meals,All,None,412-471-3436,"Inside church, enter on Oliver Avenue",Tuesdays ; 7:00pm - 8:00pm,
113,Men's breakfast - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.456061,-80.006128,Light of Life Rescue Mission,meals,all men,,412-258-6100,Free breakfast for those in need.,7 days/week: 8:00am - 8:30am,
114,Women & children's breakfast - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.456061,-80.006128,Light of Life Rescue Mission,meals,all women and children,none,412-258-6100,Free breakfast for those in need.,7 days/week: 7:30am - 8am,
115,Men's dinner - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.456061,-80.006128,Light of Life Rescue Mission,meals,all men,,412-258-6100,Free dinner for those in need.,7 days/week: 5pm - 6pm,
116,Women & children's dinner - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.456061,-80.006128,Light of Life Rescue Mission,meals,all women and children,,412-258-6100,Free dinner for those in need.,7 days/week: 5pm - 5:45pm,
117,Light of Life Emergency Shelter (for Men),Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.456061,-80.006128,Light of Life Rescue Mission,roof-overnight,,"For shelter, you will be asked to provide social security number (not required), name and age.",412-803-4120,"When the Link Line is closed, single men 25 and over can seek emergency overnight shelter directly at the Light of Life Rescue Mission at 10 East North Ave on the North Side.  Check-in is between 6pm and 6:30pm every night.","Checkin:; 6pm - 6:30pm, 7 days a week",
118,Free Breakfast - Homestead/Rainbow Kitchen,Free Breakfast - Homestead,Homestead,"135 East 9th Avenue, PA, 15120",40.406185,-79.910525,Rainbow Kitchen,meals,All in need,None - just show up,412-464-1892,"Free breakfast - balanced, substantial hot meal served every weekday morning. Doors open at 9am, food served at 9:30.",Mon - Fri; 9:00am - 10:30 am,
119,Focus - lunch and dinner,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,meals,all in need,none,412-261-1234,"Free Bag Lunches for all every Saturday, starting at 11 a.m. Hot meal Wednesday at 4:30pm, Pizza Friday at 11am.","Hot meal, Wed: 4:30pm ; Pizza, Fri: 11:00am; Bag lunches, Sat: 11:00am - until they run out",
120,Focus - Medical/Behavioral Health Clinic,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,health,People of all ages who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,CALL FOR APPOINTMENT:  For people who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,412-502-5024,"By appointment ONLY.  Volunteer doctors for general medicine, OB/GYN, psychiatrists, psychologists, dentists.",By appointment ONLY.  Call ahead for availability,
121,Focus - Emergency Food Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,pantries-supplies,All in need,No paperwork or ID requirements; call ahead to ensure availability of food.,412-261-1234,"Free pantry items available to those in need during regular Focus hours. Occasionally toiletries, paper products, or diapers are also available.","Mon - Fri: 9:30am - noon, 1 - 4pm; Sat: 11am - 1pm",
122,Focus - Clothing Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,pantries-supplies,All,None,412-261-1234,"Enter door on right, front of building","Mon - Fri: 9:30am-noon, 1-4pm; Sat: 11am - 1pm",
123,Roots of Faith Community Dinner,Roots of Faith Community Dinner,Sharpsburg,"800 Main Street, PA, 15215",40.494596,-79.934345,Roots of Faith/Faith United Methodist Church,meals,All are welcome,This is a sit down dinner with a program - not a soup kitchen,412-799-0111,"Sit down dinner first 3 Thursdays of every month at 6:00pm.  First Thursday is a neighborhood table for socializing, the second Thursday is a legal clinic with attorneys from Dickey McCamey & Chilcote, PC, the third has medical staff from UPMC is a free health clinic for primary care help - screenings, flu shots.",The first three Thursdays of every month at 6:00pm.,
124,Community Breakfast at Brown Chapel Church,Brown Chapel Church,Northside/Allegheny City Central,"1400 Boyle St, PA, 15212",40.4576012,-80.0061756,Brown Chapel Church,meals,all,none,412-918-0097,"Big, Hot Breakfast for all!",4th Saturdays: 8:30am - 12:30pm,
125,Brown Chapel Church Food Pantry,Brown Chapel Church,Northside/Allegheny City Central,"1400 Boyle St, PA, 15212",40.4576012,-80.0061756,Brown Chapel Church,pantries-supplies,all,"emergency food available, once only for emergency food, documentation required for monthly program (ID, Proof Income, address). Staff will work with you!",412-321-2240,"Shelf-stable food, as well as vegetables, meat, and eggs available. \self-serve.\""""",4th Wednesdays: 9am -2pm,
126,Lunch - Focus on Renewal (Sto Rox Community Resource Center),Focus on Renewal Drop In Center,Mckees Rocks,"500 Chartiers Ave, PA, 15136",40.4649826,-80.05884100000003,Focus on Renewal,meals,all,none,412-331-1685,cold lunch served weekdays,weekdays 11:30am - 12:30pm,
127,Emergency Food Pantry - McKees Rocks,Emergency Food Pantry - McKees Rocks,McKees Rocks,"420 Chartiers Avenue, PA, 15136",40.46482,-80.058591,Focus on Renewal,pantries-supplies,all in need - call first,Resident of McKees Rocks or Stowe.  Must register and show ID for regular pantry.,412-331-1685 X 213,"MUST CALL AHEAD for emergency food.   Will get one bag of food, pre-selected by staff.  Only once/month. Usually have paper products. Occasionally have laundry supplies and toiletries.",By appointment only; Mon - Fri; 9:00am - 4:00pm,
128,Christ Community Church Dinner - McKees Rocks,Community Dinner - McKees Rocks,McKees Rocks,"900 Chartiers Avenue, PA, 15136",40.465848,-80.065656,Christ Community United Methodist Church,meals,All in need,None,412-331-3760,"Free community dinner at the Christ Community United Methodist Church- served in a line, eat at group tables.",Every Wednesday and last Saturday of month ; 5pm - 7pm,Closed during date: 2018/07/04; 
129,Christ Community Church Dinner,Community Dinner - McKees Rocks,McKees Rocks,"900 Chartiers Avenue, PA, 15136",40.465848,-80.065656,Christ Community United Methodist Church,meals,All in need,None,412-331-3760,Hot meal served the last Saturday of every month from 5pm - 7pm.,Last Saturday of each month; 5pm - 7pm,
130,Christ Community Church Dinner  - Sheraden,Community Dinner - Sheraden,Sheraden,"2966 Chartiers Avenue, PA, 15204",40.45433,-80.057975,Christ Community United Methodist Church,meals,All in need,None,(412) 331-7475,"Free community dinner at the Christ Community United Methodist Church- served in a line, eat at group tables.",Last Thursday of the month ; 5pm - 7pm,
131,Fri/Sat Lunch - Salvation Army Mckeesport,Salvation Army Mckeesport,Mckeesport,"814 Walnut Street, PA, 15132",40.34743799999999,-79.86468480000002,Salvation Army Mckeesport,meals,all,none,412-673-6627,"Hot lunch served Fridays and Saturdays at noon. May also qualify for emergency pantry, rent and utility assistance, and clothing and household items.",Fridays and Saturdays; noon - 12:45pm,
132,"Bethlehem Haven Clinic - Tues, Thurs STD/Hepatitis C/HIV/AIDS Testing",Bethlehem Haven,Uptown,"905 Watson St, PA, 15219",40.438492,-79.991489,Primary Health Care Services,health,Medical care and addiction referral services for those experiencing homelessness or lack of stable housing,"None:  just walk in!  Or, call ahead for an appointment.",412-244-4775,"Provides stop gap medical care (not a replacement for a primary care physician, not an emergency room).  For prescriptions or physical exams, MD available on certain Tuesdays (call ahead); RN on Thursdays.  Also on Thursdays, a social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Clinic can provide for basic dental care and eyeglasses (one pair per year) at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.",Tues:   5pm - 9pm; Thurs:  10am - 3:30pm; DENTAL also Thursday 10am - 1pm,
133,Bethlehem Haven Emergency Shelter (for Women),Bethlehem Haven,Uptown,"905 Watson St, PA, 15219",40.438492,-79.991489,Primary Health Care Services,roof-overnight,,"For shelter, you will be asked for social security number (not required), name and age.",412-391-1348,"When the Link Line is closed, women 25 and over may seek emergency overnight shelter at Bethlehem Haven.",,
134,East Liberty Family Health Care - Wed STD/Hepatitis C/HIV/AIDS Testing,East Liberty Family Health Care Center,East Liberty,"6023 Harvard St, PA, 15206",40.462856,-79.923163,Primary Health Care Services,health,those experiencing homelessness or lack of stable housing,None:  just walk in!  (call ahead for psychiatrist availability),412-244-4775,"Provides stop gap medical (not a replacement for a primary care physician, not an emergency room).  Can provide for mental health care (call ahead for psychiatrist availability).  A social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Center can provide for basic dental care at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.  Can help with a \week or two\"" of inpatient addiction counseling, as needed.""",Wed:  1pm - 4pm,
